Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Valor Imposto Cobrado (sumarizado);Zona Uso ITBI;Data Inclusao Transacao
RUA ARISTOTELES CALDEIRA 317 - APT 201 - PRADO - 30411-225 - BELO HORIZONTE - MG;PRADO;2021;360;110,57;110,57;P3;0,12137;AP;RESIDENCIAL;528000;15840;ZA;16/12/2021 18:11
RUA ARISTOTELES RIBEIRO VASCONCELOS 445 - APT 102 - SANTA ROSA - 31255-650 - BELO HORIZONTE - MG;SANTA ROSA;1994;372;105,46;105,46;P3;0,2823;AP;RESIDENCIAL;320000;9600;ZAP;02/12/2021 16:12
RUA ARLINDO ZANINI 51 - TREVO - 31545-240 - BELO HORIZONTE - MG;TREVO;1998;675;338;338;P3;1;CA;RESIDENCIAL;900000;27000;ZP2;29/12/2021 00:00
RUA ARMANDO PINTO MONTEIRO 15 - CASA 3 - SAO JOAO BATISTA - 31510-550 - BELO HORIZONTE - MG;SAO JOAO BATISTA;2009;420;44,92;44,92;P2;0,174917;CA;RESIDENCIAL;208826,64;6264,79;ZAP;15/12/2021 00:00
RUA ARMANDO TAUIL 108 - PILAR - 30390-280 - BELO HORIZONTE - MG;PILAR;0;360;0;0;TE;1;LV;TERRITORIAL;315000;122850;ZAR2;01/12/2021 17:44
RUA ARMANDO TAUIL 108 - PILAR - 30390-280 - BELO HORIZONTE - MG;PILAR;0;360;0;0;TE;1;LV;TERRITORIAL;315000;122850;ZAR2;01/12/2021 17:49
RUA ARMANDO TAUIL 125 - PILAR - 30390-280 - BELO HORIZONTE - MG;PILAR;1983;360;255,81;255,81;P3;1;CA;RESIDENCIAL;400000;12000;ZAR2;16/12/2021 00:00
RUA ARMINDO CHAVES 392 - APT 301 - ALTO BARROCA - 30431-041 - BELO HORIZONTE - MG;ALTO BARROCA;2000;913,27;224,06;224,06;P4;0,071441;AP;RESIDENCIAL;787682,93;23630,48;ZA;13/12/2021 13:14
RUA ARNALDO BUENO AZEVEDO 210 - OURO PRETO - 31320-090 - BELO HORIZONTE - MG;OURO PRETO;1985;377;175,74;871,68;P2;1;CA;RESIDENCIAL;298748,43;35849,8;ZAR2;27/12/2021 10:13
RUA ARTHUR FERRARI 55 - APT 401 - GRAJAU - 30431-210 - BELO HORIZONTE - MG;GRAJAU;2005;720;207,22;207,22;P4;0,089718;AP;RESIDENCIAL;820000;24600;ZA;14/12/2021 09:33
RUA ARTUR ALVIM 291 - APT 403 - SAGRADA FAMILIA - 31035-305 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2017;870,56;118,86;118,86;P3;0,03676;AP;RESIDENCIAL;460000;13800;ZAP;07/12/2021 09:48
RUA ARTUR ALVIM 291 - APT 502 - SAGRADA FAMILIA - 31035-305 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2017;870,56;118,86;118,86;P3;0,03676;AP;RESIDENCIAL;379999,9;11399,99;ZAP;16/12/2021 17:21
RUA ARTUR DE SA 893 - APT 302 - UNIAO - 31170-710 - BELO HORIZONTE - MG;UNIAO;1998;450;150,5;150,5;P4;0,0899;AP;RESIDENCIAL;517193,25;15515,79;ZAP;09/12/2021 10:18
RUA ASSUNCAO 290 - APT 302 - SION - 30320-020 - BELO HORIZONTE - MG;SION;1974;398;116,21;464,84;P3;0,146;AP;RESIDENCIAL;380000;22800;ZA;28/12/2021 15:56
RUA ASSUNCAO 99 - APT 500 - SION - 30320-020 - BELO HORIZONTE - MG;SION;2011;405;196,98;196,98;P4;0,131836;AP;RESIDENCIAL;855000;25650;ZA;17/12/2021 11:29
RUA AUGUSTA ALVARENGA INEZ 35 - APT 402 BLOCO 19 - CANDELARIA - 31535-670 - BELO HORIZONTE - MG;CANDELARIA;1999;10348;44,82;44,82;P1;0,002434;AP;RESIDENCIAL;118000;3540;ZAP;22/12/2021 00:00
RUA AUGUSTA ALVARENGA INEZ 39 - BLOCO 9 APT 304 - CANDELARIA - 31535-670 - BELO HORIZONTE - MG;CANDELARIA;1999;10348;44,82;179,28;P1;0,002434;AP;RESIDENCIAL;135000;8100;ZAP;28/12/2021 18:26
RUA AUGUSTO CLEMENTINO 218 - APT 201 - SANTA AMELIA - 31550-300 - BELO HORIZONTE - MG;SANTA AMELIA;2012;360;113,94;113,94;P3;0,185959;AP;RESIDENCIAL;399000;11970;ZAR2;29/12/2021 00:00
RUA AUGUSTO FERREIRA DOS SANTOS 350 - APT 203 BLOCO 6 - SERRA VERDE - 31630-120 - BELO HORIZONTE - MG;SERRA VERDE;2007;4090,78;50,17;50,17;P2;0,011111;AP;RESIDENCIAL;143837,39;4315,12;ZAR2;01/12/2021 19:48
RUA AUGUSTO FRANCO 637 - APT 103 - SAO JOAO BATISTA - 31515-240 - BELO HORIZONTE - MG;SAO JOAO BATISTA;2020;780;124,23;124,23;P3;0,087698;AP;RESIDENCIAL;420000;12600;ZAP;21/12/2021 16:53
RUA AUGUSTO MUNIZ 117 - APT 304 BLOCO 6 - CARDOSO - 30626-380 - BELO HORIZONTE - MG;CARDOSO;2008;5189,9;49,35;197,4;P2;0,007961;AP;RESIDENCIAL;165000;9900;ZAP;27/12/2021 10:32
RUA AUGUSTO MUNIZ 117 - APT 501 BLOCO 1 - CARDOSO - 30626-380 - BELO HORIZONTE - MG;CARDOSO;2008;5189,9;60,92;60,92;P2;0,009827;AP;RESIDENCIAL;194832,66;5844,97;ZAP;23/12/2021 16:19
RUA AUGUSTO MUNIZ 191 - APT 8043 - CARDOSO - 30626-380 - BELO HORIZONTE - MG;CARDOSO;2006;2722,14;76,7;76,7;P3;0,01244;AP;RESIDENCIAL;239725,85;7191,77;ZAP;03/12/2021 15:18
RUA AUGUSTO MUNIZ 191 - BLOCO 1 APT 2031 - CARDOSO - 30626-380 - BELO HORIZONTE - MG;CARDOSO;2006;2722,14;76,7;76,7;P3;0,01244;AP;RESIDENCIAL;239725,85;7191,77;ZAP;07/12/2021 13:18
RUA AURELIANO LESSA 12 - APT 401 - LIBERDADE - 31270-200 - BELO HORIZONTE - MG;LIBERDADE;2016;360;122,5;122,5;P3;0,152468;AP;RESIDENCIAL;470000;14100;ZAP;02/12/2021 12:30
RUA AUSTRIA 90 - APT 606 - HAVAI - 30575-030 - BELO HORIZONTE - MG;HAVAI;1982;29700;82;82;P3;0,003408;AP;RESIDENCIAL;265000;7950;ZAR2;07/12/2021 09:37
RUA AVEIRO 75 - APT 202 - SAO FRANCISCO - 31255-060 - BELO HORIZONTE - MG;SAO FRANCISCO;1983;600;61;61;P3;0,055555;AP;RESIDENCIAL;163223,84;4896,71;ZESFR;16/12/2021 18:06
RUA AVELINO GIAROLA 650 - CASA 03 - CEU AZUL - 31580-550 - BELO HORIZONTE - MG;CEU AZUL;2016;425;86,11;86,11;P2;0,1386;CA;RESIDENCIAL;200000;6000;ZAR2;14/12/2021 11:04
RUA AVELINO GIAROLA 650 - CASA 04 - CEU AZUL - 31580-550 - BELO HORIZONTE - MG;CEU AZUL;2016;425;86,17;86,17;P2;0,1387;CA;RESIDENCIAL;200000;6000;ZAR2;14/12/2021 11:07
RUA AZALEIA BRANCA 29 - CASA 6 - HAVAI - 30555-220 - BELO HORIZONTE - MG;HAVAI;2002;500;60,97;60,97;P2;0,137;CA;RESIDENCIAL;200000;6000;ZAP;29/12/2021 00:00
RUA BACUPA 77 - APT 301 - JARAGUA - 31270-360 - BELO HORIZONTE - MG;JARAGUA;2009;700;172,77;172,77;P3;0,07232;AP;RESIDENCIAL;680000;20400;ZAP;02/12/2021 00:00
RUA BAMBUI 200 - APT 401 - SERRA - 30210-490 - BELO HORIZONTE - MG;SERRA;1993;970,4;389,01;389,01;P4;0,095492;AP;RESIDENCIAL;1584826,74;47544,8;ZA;06/12/2021 15:50
RUA BARAO DE COROMANDEL 960 - APT 301 - BARREIRO - 30640-060 - BELO HORIZONTE - MG;BARREIRO;1990;720;143,21;143,21;P3;0,111111;AP;RESIDENCIAL;490000;14700;ZCBA;15/12/2021 00:00
RUA BARAO DE GUAXUPE - ALTO DOS PINHEIROS - 30530-160 - BELO HORIZONTE - MG;ALTO DOS PINHEIROS;0;363,78;0;0;TE;1;LV;TERRITORIAL;390000;93600;ZAR2;21/12/2021 15:17
RUA BARAO DE JACUI 234 - CASA 1 - PLANALTO - 31730-540 - BELO HORIZONTE - MG;PLANALTO;1998;404;98,58;98,58;P3;0,204869;CA;RESIDENCIAL;360000;10800;ZAP;02/12/2021 00:00
RUA BARAO DE MACAUBAS 192 - APT 501 - SANTO ANTONIO - 30350-090 - BELO HORIZONTE - MG;SANTO ANTONIO;2000;474;192,78;192,78;P4;0,12605;AP;RESIDENCIAL;850000;25500;ZA;09/12/2021 17:12
RUA BARAO DE MACAUBAS 337 - APT 901 - SANTO ANTONIO - 30350-090 - BELO HORIZONTE - MG;SANTO ANTONIO;2020;600;218,45;218,45;P5;0,10626;AP;RESIDENCIAL;1168824,33;35064,72;ZA;02/12/2021 12:39
RUA BARAO DE SARAMENHA 445 - APT 201 - SANTA TEREZA - 31010-490 - BELO HORIZONTE - MG;SANTA TEREZA;1976;646;66,8;66,8;P2;0,08097;AP;RESIDENCIAL;250000;7500;ZA;16/12/2021 11:21
RUA BARAO DO MONTE ALTO 960 - BLOCO 2 APT 106 - CARDOSO - 30626-480 - BELO HORIZONTE - MG;CARDOSO;1993;6320;53,62;53,62;P2;0,005309;AP;RESIDENCIAL;135125,93;4053,77;ZAP;02/12/2021 00:00
RUA BARROSO NETO 404 - APT 103 - HAVAI - 30570-670 - BELO HORIZONTE - MG;HAVAI;2006;651,5;70,22;70,22;P3;0,10191;AP;RESIDENCIAL;350000;10500;ZAR2;07/12/2021 17:22
RUA BASILEIA 40 - BLOCO 9 APT 404 - EUROPA - 31620-300 - BELO HORIZONTE - MG;EUROPA;1994;26976,67;48,88;48,88;P2;0,001644;AP;RESIDENCIAL;139999,94;4199,99;ZAR2;07/12/2021 10:06
RUA BASTOS 85 - APT 202 - SAO SALVADOR - 30881-270 - BELO HORIZONTE - MG;SAO SALVADOR;2021;525;74,39;74,39;P3;0,05987;AP;RESIDENCIAL;244743,1;7342,29;ZAP;15/12/2021 00:00
RUA BELEM 116 - APT 1102 BLOCO 02 - ESPLANADA - 30280-122 - BELO HORIZONTE - MG;ESPLANADA;2013;9000;84,34;84,34;P4;0,004341;AP;RESIDENCIAL;370000;11100;ZAP;10/12/2021 14:18
RUA BELEM 116 - APT 501 BLOCO 03 - ESPLANADA - 30280-122 - BELO HORIZONTE - MG;ESPLANADA;2013;9000;83,14;83,14;P4;0,004279;AP;RESIDENCIAL;340000;10200;ZAP;07/12/2021 11:19
RUA BELEM 116 - APT 503 BLOCO 01 - ESPLANADA - 30280-122 - BELO HORIZONTE - MG;ESPLANADA;2013;9000;66,95;66,95;P4;0,003446;AP;RESIDENCIAL;275000;8250;ZAP;15/12/2021 00:00
RUA BELFORT ROXO 130 - APT 302 - NOVA GRANADA - 30431-375 - BELO HORIZONTE - MG;NOVA GRANADA;2001;361;68,79;68,79;P3;0,079413;AP;RESIDENCIAL;211685,9;6350,57;ZAP;06/12/2021 13:24
RUA BENFICA 15 - BLOCO E3 APT 1 - PADRE EUSTAQUIO - 30720-030 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1976;43319,12;64;64;P3;0,00123;AP;RESIDENCIAL;250000;7500;ZA;09/12/2021 10:34
RUA BENJAMIM FLORES 105 - APT 301 - SANTO ANTONIO - 30350-240 - BELO HORIZONTE - MG;SANTO ANTONIO;1977;387;125,13;125,13;P3;0,08925;AP;RESIDENCIAL;500000;15000;ZA;07/12/2021 15:01
RUA BENJAMIM FLORES 190 - APT 102 - SANTO ANTONIO - 30350-240 - BELO HORIZONTE - MG;SANTO ANTONIO;1981;443;157;157;P3;0,09558;AP;RESIDENCIAL;338743,2;10162,29;ZA;22/12/2021 13:55
RUA BENTO MENDES CASTANHEIRA 370 - APT 401 - DONA CLARA - 31260-270 - BELO HORIZONTE - MG;DONA CLARA;2009;372;256,71;256,71;P3;0,1623;AP;RESIDENCIAL;895000;26850;ZAP;07/12/2021 11:46
RUA BERNARDINO DE CAMPOS 145 - APT 302 - 3º PAVIMENTO - GUTIERREZ - 30441-175 - BELO HORIZONTE - MG;GUTIERREZ;2003;1615;219,85;879,4;P4;0,037;AP;RESIDENCIAL;807618,98;48457,12;ZA;28/12/2021 15:21
RUA BERNARDINO DE LIMA 48 - APT 701 - GUTIERREZ - 30441-008 - BELO HORIZONTE - MG;GUTIERREZ;2015;1140;250,93;250,93;P4;0,0577;AP;RESIDENCIAL;1370000;41100;ZA;09/12/2021 16:55
RUA BERNARDINO OLIVEIRA PENA 200 - APT 304 - SAO JOAO BATISTA - 31520-120 - BELO HORIZONTE - MG;SAO JOAO BATISTA;2019;720;41,15;41,15;P3;0,05036;AP;RESIDENCIAL;200000;6000;ZAP;06/12/2021 17:14
RUA BERNARDINO OLIVEIRA PENA 258 - APT 103 BLOCO B - SAO JOAO BATISTA - 31520-120 - BELO HORIZONTE - MG;SAO JOAO BATISTA;2019;2880;61,9;61,9;P3;0,0138;AP;RESIDENCIAL;215000;6450;ZAP;17/12/2021 16:46
RUA BERNARDO GUIMARAES 1220 - APT 1202 - BOA VIAGEM - 30140-084 - BELO HORIZONTE - MG;BOA VIAGEM;2004;2300,59;290,04;290,04;P5;0,02526;AP;RESIDENCIAL;1969371,6;59081,14;ZCBH;22/12/2021 11:24
RUA BERNARDO GUIMARAES 1298 - APT 1102 - BOA VIAGEM - 30140-084 - BELO HORIZONTE - MG;BOA VIAGEM;1984;565;52;52;P3;0,01735;AP;RESIDENCIAL;270000;8100;ZCBH;20/12/2021 18:13
RUA BERNARDO GUIMARAES 2014 - APT 1604 - LOURDES - 30140-087 - BELO HORIZONTE - MG;LOURDES;1983;1200;122;122;P4;0,014573;AP;RESIDENCIAL;588500;17655;ZCBH;15/12/2021 10:37
RUA BERNARDO GUIMARAES 2032 - APT 901 - LOURDES - 30140-087 - BELO HORIZONTE - MG;LOURDES;2001;1500;85,98;85,98;P4;0,01025;AP;RESIDENCIAL;330000;9900;ZCBH;01/12/2021 00:00
RUA BERNARDO GUIMARAES 475 - APT 1703 - FUNCIONARIOS - 30140-086 - BELO HORIZONTE - MG;FUNCIONARIOS;2018;1200;78,09;78,09;P4;0,009822;AP;RESIDENCIAL;480000;14400;ZCBH;13/12/2021 13:32
RUA BERNARDO GUIMARAES 594 - APT 603 - FUNCIONARIOS - 30140-086 - BELO HORIZONTE - MG;FUNCIONARIOS;2021;1290;166,67;166,67;P4;0,02172;AP;RESIDENCIAL;1284000;38520;ZCBH;01/12/2021 11:20
RUA BIAGGIO POLIZZI 240 - APT 702 - SILVEIRA - 31140-500 - BELO HORIZONTE - MG;SILVEIRA;2001;916;215,85;215,85;P3;0,075509;AP;RESIDENCIAL;970000;29100;ZAP;13/12/2021 15:11
RUA BIAGGIO POLIZZI 273 - APT 301 - SILVEIRA - 31140-500 - BELO HORIZONTE - MG;SILVEIRA;1980;400;126,78;126,78;P3;0,166;AP;RESIDENCIAL;375000;11250;ZAP;20/12/2021 17:44
RUA BICAS 451 - APT 302 - SAGRADA FAMILIA - 31030-160 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1988;420;100,88;100,88;P3;0,111111;AP;RESIDENCIAL;410000;12300;ZAP;17/12/2021 14:07
RUA BLENDA 251 - APT 501 PAVMTO 5º BLOCO 31 - CAMARGOS - 30520-240 - BELO HORIZONTE - MG;CAMARGOS;2015;39198,41;77,02;77,02;P3;0,00202;AP;RESIDENCIAL;340000;10200;ZAR2;01/12/2021 00:00
RUA BLENDA 251 - APT 503- BLOCO 13 - CAMARGOS - 30520-240 - BELO HORIZONTE - MG;CAMARGOS;2015;39198,41;76,79;76,79;P3;0,002014;AP;RESIDENCIAL;258000;7740;ZAR2;10/12/2021 15:41
RUA BOACHA 407 - DOM BOSCO - 30850-080 - BELO HORIZONTE - MG;DOM BOSCO;1987;192;125;125;P1;1;BA;RESIDENCIAL;240000;14400;ZAP;14/12/2021 14:38
RUA BOA ESPERANCA 59 - APT 101 - CARMO - 30310-730 - BELO HORIZONTE - MG;CARMO;2003;400;133,7;133,7;P4;0,148956;AP;RESIDENCIAL;690000;20700;ZA;20/12/2021 15:32
RUA BOAVENTURA 351 - BLOCO 5 APT 101 - SAO FRANCISCO - 31270-020 - BELO HORIZONTE - MG;SAO FRANCISCO;1993;9594,88;52,48;52,48;P2;0,0037;AP;RESIDENCIAL;160526,26;4815,78;ZAR2;10/12/2021 15:29
RUA BOAVENTURA 67 - BLOCO III APT 201 - SAO FRANCISCO - 31270-020 - BELO HORIZONTE - MG;SAO FRANCISCO;1998;4950;47,06;47,06;P3;0,0078;AP;RESIDENCIAL;174513,21;5235,39;ZESFR;13/12/2021 13:40
RUA BOAVENTURA 771 - BLOCO J1 APT 102 - INDAIA - 31270-020 - BELO HORIZONTE - MG;INDAIA;1993;7993;76,56;76,56;P3;0,005938;AP;RESIDENCIAL;265808,41;7974,25;ZAP;21/12/2021 13:57
RUA BOGOTA 33 - COPACABANA - 31550-160 - BELO HORIZONTE - MG;COPACABANA;2005;191,25;134,69;134,69;P3;1;CA;RESIDENCIAL;510000;30600;ZAR2;13/12/2021 00:00
RUA BOM DESPACHO 356 - SANTA TEREZA - 31010-390 - BELO HORIZONTE - MG;SANTA TEREZA;1946;400;285,06;329,12;P2;1;CA;RESIDENCIAL;760000;68400;ZA;16/12/2021 17:31
RUA BOM JESUS DA PENHA 58 - SANTA TEREZINHA - 31365-190 - BELO HORIZONTE - MG;SANTA TEREZINHA;2016;365;230,08;230,08;P3;1;CA;RESIDENCIAL;810000;24300;ZAP;10/12/2021 08:56
RUA BOM JESUS DA PENHA 719 - BLOCO C2 APT 101 - SANTA TEREZINHA - 31365-190 - BELO HORIZONTE - MG;SANTA TEREZINHA;1982;69958,44;69;69;P2;0,001042;AP;RESIDENCIAL;175000;5250;ZAP;09/12/2021 17:19
RUA BOM RETIRO 71 - JARDIM MONTANHES - 30730-650 - BELO HORIZONTE - MG;JARDIM MONTANHES;1946;400;44,44;44,44;P2;1;BA;RESIDENCIAL;360101,85;10803,05;ZAP;14/12/2021 17:31
RUA BOTAO DE ROSA 22 - CASA 06 - ETELVINA CARNEIRO - 31746-105 - BELO HORIZONTE - MG;ETELVINA CARNEIRO;2021;798,3;59,88;59,88;P2;0,171908;CA;RESIDENCIAL;300000;9000;ZAR2;15/12/2021 00:00
RUA BOTAO DE ROSA 306 - CASA 02 - ETELVINA CARNEIRO - 31746-105 - BELO HORIZONTE - MG;ETELVINA CARNEIRO;2014;360;71,84;71,84;P3;0,206337;CA;RESIDENCIAL;325000;9750;ZAR2;02/12/2021 16:36
RUA BRANCA DE SOUZA COUTO 34 - APT 504 - DONA CLARA - 31260-160 - BELO HORIZONTE - MG;DONA CLARA;2021;1112;96,07;192,14;P3;0,02803;AP;RESIDENCIAL;334323,6;20059,4;ZAP;01/12/2021 14:36
RUA BRANCA DE SOUZA COUTO 34 - APT 505 - DONA CLARA - 31260-160 - BELO HORIZONTE - MG;DONA CLARA;2021;1112;96,69;96,69;P3;0,02821;AP;RESIDENCIAL;336481,2;10094,43;ZAP;01/12/2021 13:12
RUA BRAZ CUBAS 77 - APT 401 - CRUZEIRO - 30310-220 - BELO HORIZONTE - MG;CRUZEIRO;2003;300;162,71;162,71;P3;0,2166;AP;RESIDENCIAL;760000;22800;ZA;06/12/2021 15:51
RUA BRISTOL 61 - BLOCO 7 APT 304 - EUROPA - 31620-240 - BELO HORIZONTE - MG;EUROPA;1994;26976,67;48,88;48,88;P2;0,001644;AP;RESIDENCIAL;163000;4890;ZAR2;15/12/2021 10:08
RUA BRUMADINHO 135 - APT 11 - PRADO - 30411-189 - BELO HORIZONTE - MG;PRADO;1961;444;105;105;P2;0,2;AP;RESIDENCIAL;370000;11100;ZA;09/12/2021 17:25
RUA BRUNO FELIPE FERREIRA 170 - APT 306 BLOCO 8 - SOLAR DO BARREIRO - 30628-191 - BELO HORIZONTE - MG;SOLAR DO BARREIRO;2009;17323,13;46,13;184,52;P2;0,003903;AP;RESIDENCIAL;133987,81;8039,26;ZE;28/12/2021 11:14
RUA BUENO BRANDAO 579 - APT 101 - SANTA TEREZA - 31010-060 - BELO HORIZONTE - MG;SANTA TEREZA;2001;460;73,56;73,56;P3;0,07617;AP;RESIDENCIAL;291000;8730;ZA;01/12/2021 00:00
RUA BUENOS AIRES 350 - APT 402 - SION - 30315-570 - BELO HORIZONTE - MG;SION;2021;352,5;57,3;57,3;P3;0,068828;AP;RESIDENCIAL;466367,57;13991,02;ZA;23/12/2021 21:46
RUA BUENOS AIRES 350 - APT 501 - SION - 30315-570 - BELO HORIZONTE - MG;SION;2021;352,5;120,32;120,32;P3;0,144528;AP;RESIDENCIAL;979290,5;29378,71;ZA;06/12/2021 15:00
RUA BURITIS 160 - CASA 2 - CANDELARIA - 31510-270 - BELO HORIZONTE - MG;CANDELARIA;2008;384;50,05;50,05;P3;0,238355;CA;RESIDENCIAL;245000;7350;ZAP;15/12/2021 00:00
RUA BURNIER 151 - APT 203 - CASA BRANCA - 31050-190 - BELO HORIZONTE - MG;CASA BRANCA;2007;432;63,96;255,84;P2;0,13014;AP;RESIDENCIAL;195000;11700;ZAR2;27/12/2021 17:05
RUA CACHOEIRA DE MINAS 114 - APT 1001 - GUTIERREZ - 30441-190 - BELO HORIZONTE - MG;GUTIERREZ;1999;1730;205,14;205,14;P4;0,044103;AP;RESIDENCIAL;800000;24000;ZA;09/12/2021 17:34
RUA CACHOEIRA DOURADA 392 - APT 401 - PARAISO - 30270-060 - BELO HORIZONTE - MG;PARAISO;2016;375;133,07;133,07;P3;0,12029;AP;RESIDENCIAL;437800,3;13134;ZAP;09/12/2021 16:58
RUA CACUERA 571 - APT 102 - JARAGUA - 31270-350 - BELO HORIZONTE - MG;JARAGUA;2012;561,75;190;190;P4;0,083399;AP;RESIDENCIAL;750500;22515;ZAP;08/12/2021 00:00
RUA CAETANO PIRRI 1540 - APT 1004 BLOCO C - MILIONARIOS - 30620-070 - BELO HORIZONTE - MG;MILIONARIOS;2021;5226,43;64,42;64,42;P3;0,009203;AP;RESIDENCIAL;202923;6087,69;ZAR2;22/12/2021 14:15
RUA CAETANO PIRRI 1540 - APT 601 BLOCO A - MILIONARIOS - 30620-070 - BELO HORIZONTE - MG;MILIONARIOS;2021;5226,43;60,85;60,85;P3;0,008693;AP;RESIDENCIAL;191677,5;5750,32;ZAR2;03/12/2021 15:20
RUA CAETANO PIRRI 1540 - APT 903 BLOCO B - MILIONARIOS - 30620-070 - BELO HORIZONTE - MG;MILIONARIOS;2021;5226,43;58,66;58,66;P3;0,008381;AP;RESIDENCIAL;190000;5700;ZAR2;22/12/2021 14:27
RUA CAETANO PIRRI 1541 - APT 606 BLOCO A - MILIONARIOS - 30620-070 - BELO HORIZONTE - MG;MILIONARIOS;2019;4187,08;58,7;58,7;P3;0,01049;AP;RESIDENCIAL;185000;5550;ZAR2;01/12/2021 15:49
RUA CAETANO PIRRI 400 - APT 202 - MILIONARIOS - 30620-070 - BELO HORIZONTE - MG;MILIONARIOS;1989;375;64,34;64,34;P3;0,1117;AP;RESIDENCIAL;177000;5310;ZAP;07/12/2021 16:19
RUA CAIANA 145 - APT 202 - SANTA INES - 31080-190 - BELO HORIZONTE - MG;SANTA INES;2006;360;72,27;72,27;P3;0,0775;AP;RESIDENCIAL;250000;7500;ZAP;13/12/2021 11:57
RUA CALDAS DA RAINHA 1740 - SAO FRANCISCO - 31255-180 - BELO HORIZONTE - MG;SAO FRANCISCO;2016;1000;1033,48;1033,48;P1;1;LJ;NAO RESIDENCIAL;1946408,8;116784,52;ZESFR;09/12/2021 12:54
RUA CALDEIRA BRANT 282 - SAGRADA FAMILIA - 31030-180 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1967;384;349,34;354,68;P3;1;CA;RESIDENCIAL;734422,38;88130,68;ZAP;15/12/2021 00:00
RUA CALIFORNIA 840 - APT 701 - SION - 30315-500 - BELO HORIZONTE - MG;SION;2011;1082,12;204,29;204,29;P4;0,056287;AP;RESIDENCIAL;990806,5;29724,19;ZA;14/12/2021 16:05
RUA CALUNGA 282 - APT 602 - JARAGUA - 31270-410 - BELO HORIZONTE - MG;JARAGUA;2013;360;190,48;761,92;P3;0,12558;AP;RESIDENCIAL;560000;33600;ZAP;27/12/2021 00:00
RUA CALUNGA 30 - APT 903 BLOCO B - JARAGUA - 31270-410 - BELO HORIZONTE - MG;JARAGUA;2007;2526,49;94,01;94,01;P3;0,02172;AP;RESIDENCIAL;394210,75;11826,32;ZAP;13/12/2021 17:52
RUA CAMAPUAN 149 - APT 302 - ALTO BARROCA - 30431-035 - BELO HORIZONTE - MG;ALTO BARROCA;1978;300;90;90;P3;0,2;AP;RESIDENCIAL;300000;9000;ZA;14/12/2021 15:29
RUA CAMBUQUIRA 175 - APT 301 - CARLOS PRATES - 30710-550 - BELO HORIZONTE - MG;CARLOS PRATES;2011;2171,2;140,67;140,67;P4;0,01968;AP;RESIDENCIAL;550000;16500;ZA;10/12/2021 09:23
RUA CAMPANHA 128 - APT 1102 - CARMO - 30310-770 - BELO HORIZONTE - MG;CARMO;2020;1920;250,39;250,39;P5;0,034485;AP;RESIDENCIAL;1820000;54600;ZA;03/12/2021 16:41
RUA CAMPANHA 179 - APT 301 - CARMO - 30310-770 - BELO HORIZONTE - MG;CARMO;2010;300;161,42;161,42;P4;0,213416;AP;RESIDENCIAL;782887;23486,61;ZA;17/12/2021 10:51
RUA CAMPINA VERDE 144 - APT 501 - SALGADO FILHO - 30550-340 - BELO HORIZONTE - MG;SALGADO FILHO;2020;416;188,81;188,81;P3;0,130973;AP;RESIDENCIAL;492999,67;14789,99;ZAP;15/12/2021 15:36
RUA CAMPISTA 131 - APT 503 - SANTA MONICA - 31565-250 - BELO HORIZONTE - MG;SANTA MONICA;2016;964;73,88;73,88;P3;0,06684;AP;RESIDENCIAL;550000;16500;ZAP;30/12/2021 00:00
RUA CAMPOS ELISEOS 112 - APT 103 - BARROCA - 30431-068 - BELO HORIZONTE - MG;BARROCA;1972;680;126,75;126,75;P3;0,075;AP;RESIDENCIAL;300000;9000;ZA;24/12/2021 09:11
RUA CAMPOS ELISEOS 359 - APT 21 - BARROCA - 30431-068 - BELO HORIZONTE - MG;BARROCA;1952;384;101;101;P2;0,17188;AP;RESIDENCIAL;250000;7500;ZA;21/12/2021 16:16
RUA CANDIDO DE FIGUEIREDO 190 - CASA 2 - SANTA MONICA - 31520-390 - BELO HORIZONTE - MG;SANTA MONICA;1995;363,83;56,21;56,21;P3;0,3226;BA;RESIDENCIAL;280000;8400;ZAP;10/12/2021 15:59
RUA CANDIDO NOGUEIRA 20 - APT 303 - GRAJAU - 30431-218 - BELO HORIZONTE - MG;GRAJAU;1976;650;129,82;129,82;P3;0,043505;AP;RESIDENCIAL;302831,73;9084,95;ZA;15/12/2021 11:11
RUA CANTOR LUIZ GONZAGA 572 - APT 403 - CASTELO - 30840-340 - BELO HORIZONTE - MG;CASTELO;2000;543,9;97,71;97,71;P3;0,091271;AP;RESIDENCIAL;470000;14100;ZAR2;03/12/2021 16:41
RUA CAPANEMA 270 - BLOCO F APT 201 - PINDORAMA - 30880-450 - BELO HORIZONTE - MG;PINDORAMA;1997;7200;55,88;55,88;P2;0,00782;AP;RESIDENCIAL;140000;4200;ZAP;03/12/2021 13:20
